# Wall shear stress
# Time       	patch        	min          	max          
0.000000e+00	movingWall	(7.387000e-03 0.000000e+00 0.000000e+00)	(7.387000e-03 0.000000e+00 0.000000e+00)
0.000000e+00	Bottom	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1.000000e-02	movingWall	(4.976310e-03 -1.527331e-09 0.000000e+00)	(4.976328e-03 3.232836e-09 0.000000e+00)
1.000000e-02	Bottom	(-1.160392e-11 6.013789e-15 0.000000e+00)	(5.771792e-11 3.985195e-12 0.000000e+00)
2.000000e-02	movingWall	(3.669455e-03 -8.382115e-08 0.000000e+00)	(3.669924e-03 1.656337e-08 0.000000e+00)
2.000000e-02	Bottom	(-4.484117e-10 -1.527010e-11 0.000000e+00)	(1.587491e-09 9.255626e-11 0.000000e+00)
3.000000e-02	movingWall	(2.704122e-03 -5.152596e-05 0.000000e+00)	(2.915569e-03 9.488895e-06 0.000000e+00)
3.000000e-02	Bottom	(-1.651401e-07 -4.937498e-08 0.000000e+00)	(2.749904e-07 1.915055e-08 0.000000e+00)
4.000000e-02	movingWall	(2.306748e-03 -1.363661e-04 0.000000e+00)	(2.589649e-03 1.440294e-05 0.000000e+00)
4.000000e-02	Bottom	(-3.298040e-05 -2.276917e-06 0.000000e+00)	(7.251708e-06 1.857324e-07 0.000000e+00)
5.000000e-02	movingWall	(2.109777e-03 -1.204565e-04 0.000000e+00)	(3.248427e-03 3.389203e-06 0.000000e+00)
5.000000e-02	Bottom	(-9.023522e-05 -3.182260e-06 0.000000e+00)	(2.837052e-05 1.026352e-07 0.000000e+00)
6.000000e-02	movingWall	(1.955881e-03 -1.152384e-04 0.000000e+00)	(3.570713e-03 8.888881e-07 0.000000e+00)
6.000000e-02	Bottom	(-8.748633e-05 -2.210905e-06 0.000000e+00)	(5.653572e-05 2.555510e-08 0.000000e+00)
7.000000e-02	movingWall	(1.893484e-03 -1.183567e-04 0.000000e+00)	(3.595103e-03 -6.718290e-06 0.000000e+00)
7.000000e-02	Bottom	(-6.024715e-05 -1.496272e-06 0.000000e+00)	(6.773716e-05 2.889367e-07 0.000000e+00)
8.000000e-02	movingWall	(1.984738e-03 -1.191915e-04 0.000000e+00)	(3.583531e-03 -6.808156e-06 0.000000e+00)
8.000000e-02	Bottom	(-4.028150e-05 -1.055634e-06 0.000000e+00)	(5.635192e-05 2.530365e-07 0.000000e+00)
9.000000e-02	movingWall	(2.050891e-03 -1.196917e-04 0.000000e+00)	(3.572495e-03 -5.527909e-06 0.000000e+00)
9.000000e-02	Bottom	(-2.985570e-05 -7.032727e-07 0.000000e+00)	(4.352531e-05 1.239105e-07 0.000000e+00)
1.000000e-01	movingWall	(2.073250e-03 -1.206478e-04 0.000000e+00)	(3.569990e-03 -4.881484e-06 0.000000e+00)
1.000000e-01	Bottom	(-2.516621e-05 -4.969849e-07 0.000000e+00)	(3.541136e-05 5.243987e-08 0.000000e+00)
