# Wall shear stress
# Time       	patch        	min          	max          
0.000000e+00	movingWall	(3.693500e+00 0.000000e+00 0.000000e+00)	(3.693500e+00 0.000000e+00 0.000000e+00)
0.000000e+00	Bottom	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1.000000e-01	movingWall	(1.846750e-01 -6.846651e-09 0.000000e+00)	(1.846750e-01 5.571068e-09 0.000000e+00)
1.000000e-01	Bottom	(-1.846737e-01 -5.520623e-09 0.000000e+00)	(-1.846737e-01 7.017472e-09 0.000000e+00)
2.000000e-01	movingWall	(1.846750e-01 -6.436065e-11 0.000000e+00)	(1.846750e-01 5.237086e-11 0.000000e+00)
2.000000e-01	Bottom	(-1.846750e-01 -5.189602e-11 0.000000e+00)	(-1.846750e-01 6.596799e-11 0.000000e+00)
3.000000e-01	movingWall	(1.846750e-01 -6.049923e-13 0.000000e+00)	(1.846750e-01 4.928049e-13 0.000000e+00)
3.000000e-01	Bottom	(-1.846750e-01 -4.877716e-13 0.000000e+00)	(-1.846750e-01 6.202232e-13 0.000000e+00)
4.000000e-01	movingWall	(1.846750e-01 -5.975223e-15 0.000000e+00)	(1.846750e-01 4.619693e-15 0.000000e+00)
4.000000e-01	Bottom	(-1.846750e-01 -4.616454e-15 0.000000e+00)	(-1.846750e-01 5.765462e-15 0.000000e+00)
5.000000e-01	movingWall	(1.846750e-01 -4.259516e-16 0.000000e+00)	(1.846750e-01 5.447648e-16 0.000000e+00)
5.000000e-01	Bottom	(-1.846750e-01 -2.125540e-16 0.000000e+00)	(-1.846750e-01 1.693913e-16 0.000000e+00)
6.000000e-01	movingWall	(1.846750e-01 -6.351752e-16 0.000000e+00)	(1.846750e-01 4.711672e-16 0.000000e+00)
6.000000e-01	Bottom	(-1.846750e-01 -2.633107e-16 0.000000e+00)	(-1.846750e-01 2.179290e-16 0.000000e+00)
7.000000e-01	movingWall	(1.846750e-01 -4.856683e-16 0.000000e+00)	(1.846750e-01 3.926039e-16 0.000000e+00)
7.000000e-01	Bottom	(-1.846750e-01 -2.053177e-16 0.000000e+00)	(-1.846750e-01 1.956434e-16 0.000000e+00)
8.000000e-01	movingWall	(1.846750e-01 -4.600997e-16 0.000000e+00)	(1.846750e-01 5.876433e-16 0.000000e+00)
8.000000e-01	Bottom	(-1.846750e-01 -2.516469e-16 0.000000e+00)	(-1.846750e-01 1.706884e-16 0.000000e+00)
9.000000e-01	movingWall	(1.846750e-01 -3.883651e-16 0.000000e+00)	(1.846750e-01 4.700766e-16 0.000000e+00)
9.000000e-01	Bottom	(-1.846750e-01 -2.531391e-16 0.000000e+00)	(-1.846750e-01 1.434911e-16 0.000000e+00)
1.000000e+00	movingWall	(1.846750e-01 -4.389106e-16 0.000000e+00)	(1.846750e-01 5.274520e-16 0.000000e+00)
1.000000e+00	Bottom	(-1.846750e-01 -2.072988e-16 0.000000e+00)	(-1.846750e-01 1.479714e-16 0.000000e+00)
